stake,gtype,upgrade,level,cost,d_hr,d_hr_per_dollar,payback_hours,below_window,ev_per_hand,hr
s001,six_max,sharper_reads,1,0.1600947,10.465699999999998,65.3719329871632,0.015297084762605467,false,0.3725179,74.50358
s001,six_max,sharper_reads,2,0.50459468012954,10.465699999999998,20.740805268325925,0.04821413571280852,false,0.4248464,84.96928
s001,six_max,sharper_reads,3,1.4378530577054,10.465700000000012,7.278699268965436,0.13738718458444235,false,0.4771749,95.43498000000001
s001,six_max,sharper_reads,4,3.7255224290432,10.465699999999984,2.8091899053974605,0.3559745099747944,false,0.5295034,105.90068
s001,six_max,sharper_reads,5,8.9575151937622,10.465699999999998,1.168370890097743,0.8558926009499795,false,0.5818319,116.36637999999999
s001,six_max,pot_control,1,0.3201894,71.57703999999998,223.54593874750375,0.004473353466418842,false,0.6780746,135.61491999999998
s001,six_max,pot_control,2,1.0091893602591,71.57704000000001,70.92528203193034,0.01409934470968763,false,1.0359598,207.19196
s001,six_max,pot_control,3,2.8757061154107,71.57704000000001,24.890248560666144,0.04017637660639082,false,1.393845,278.769
s001,six_max,pot_control,4,7.4510448580864,71.57704000000001,9.60630909667918,0.10409825354731628,false,1.7517302,350.34604
s001,six_max,pot_control,5,17.915030387524,71.57704000000001,3.9953624666942322,0.2502901822640891,false,2.1096154,421.92308
s001,hu,sharper_reads,1,0.1600947,35.109249999999996,219.3030125294591,0.004559900880822006,false,0.1825965,91.29825
s001,hu,sharper_reads,2,0.50459468012954,35.10925,69.57911246901519,0.014372129285858853,false,0.252815,126.4075
s001,hu,sharper_reads,3,1.4378530577054,35.109249999999975,24.417828937283147,0.04095368194152257,false,0.3230335,161.51674999999997
s001,hu,sharper_reads,4,3.7255224290432,35.10925000000003,9.423980305767987,0.10611227608232009,false,0.393252,196.626
s001,hu,sharper_reads,5,8.9575151937622,35.109249999999975,3.91953005275941,0.25513262726381813,false,0.4634705,231.73524999999998
s001,hu,pot_control,1,0.3201894,31.92000000000001,99.69099539210232,0.010030996240601501,false,0.176218,88.10900000000001
s001,hu,pot_control,2,1.0091893602591,31.919999999999987,31.629346539885066,0.03161620802816731,false,0.240058,120.029
s001,hu,pot_control,3,2.8757061154107,31.919999999999987,11.099882505010866,0.0900910437158741,false,0.303898,151.94899999999998
s001,hu,pot_control,4,7.4510448580864,21.072307692310005,2.8281010373251005,0.35359415622075113,false,0.34604261538462,173.02130769231
s001,hu,pot_control,5,17.915030387524,14.558601398600018,0.8126473181278334,1.230546114769427,false,0.37515981818182,187.57990909091
s001,zoom,sharper_reads,1,0.1600947,15.15377611182489,94.65507672536873,0.010564673703676664,false,0.067674596924607,76.13392154018288
s001,zoom,sharper_reads,2,0.50459468012954,15.153776111824868,30.03158120480893,0.03329828000664417,false,0.081144620135118,91.28769765200775
s001,zoom,sharper_reads,3,1.4378530577054,15.153776111824868,10.539168818827735,0.09488414287600618,false,0.094614643345629,106.44147376383262
s001,zoom,sharper_reads,4,3.7255224290432,15.153776111824882,4.067557342747423,0.2458477940779446,false,0.10808466655614,121.5952498756575
s001,zoom,sharper_reads,5,8.9575151937622,15.153776111823746,1.6917388119393282,0.5911077956848717,false,0.12155468976665,136.74902598748125
s001,zoom,pot_control,1,0.3201894,12.06645046180875,37.6853526750378,0.0265355085999337,false,0.064930307457926,73.04659589016674
s001,zoom,pot_control,2,1.0091893602591,13.065028275705757,12.946062245792437,0.0772435649554371,false,0.07654366592522,86.1116241658725
s001,zoom,pot_control,3,2.8757061154107,49.37900023832624,17.17108711968437,0.058237430922683575,false,0.12043611058151,135.49062440419874
s001,zoom,pot_control,4,7.4510448580864,91.55980162159872,12.288182847568226,0.08137899739975755,false,0.20182260091182,227.05042602579746
s001,zoom,pot_control,5,17.915030387524,105.68314426650753,5.899132849928355,0.1695164400327321,false,0.29576317359316,332.733570292305
s001,ko,sharper_reads,1,0.1600947,27.41941259413042,171.26995830674232,0.005838735583791132,false,1.14151643362,223.34017179521743
s001,ko,sharper_reads,2,0.50459468012954,26.282775499454317,52.08690565803622,0.019198683188539824,false,1.2758506195061,249.62294729467175
s001,ko,sharper_reads,3,1.4378530577054,24.93618198806746,17.34264976134759,0.057661315529115326,false,1.403302216334,274.5591292827392
