board,item,name,variant,proc,trigger,every,chance,target,payload,fires_hr,per_fire,est_hr,cost,est_hr_per_chip,board_hr,note
act1,energy_drink,Energy Drink,base,energy_drink_caffeine,on_hand_played,25,1,gtype,apply_status:heater,65.4040014040014,0.15878273533408513,10.385026244721688,3,3.4616754149072295,6.3285975203489215,heater on a random zoom table
act1,energy_drink,Energy Drink,corrupt,energy_drink_caffeine_corrupt,on_hand_played,10,1,gtype,apply_status:heater,163.51000351000351,0.15878273533408513,25.96256561180422,2,12.98128280590211,6.3285975203489215,heater on a random zoom table
act1,dogs_playing_poker,Dogs Playing Poker,base,dogs_playing_poker_high,on_stack_win,,0.25,self,apply_status:heater,10.499768339768341,2.7425656149487314,28.79630361357598,6,4.799383935595997,6.3285975203489215,heater on self (avg cash table)
act1,dogs_playing_poker,Dogs Playing Poker,corrupt,dogs_playing_poker_high_corrupt,on_stack_win,,0.35,self,apply_status:heater,14.699675675675676,2.7425656149487314,40.31482505900637,3,13.438275019668788,6.3285975203489215,heater on self (avg cash table)
act1,gaming_chair,Gaming Chair,base,gaming_chair_spread,on_stack_win,,0.3,board_near,apply_status:heater,12.59972200772201,2.7425656149487314,34.55556433629118,10,3.4555564336291176,6.3285975203489215,heater on a random table
act1,gaming_chair,Gaming Chair,corrupt,gaming_chair_spread,on_stack_win,,0.3,board_near,apply_status:heater,12.59972200772201,2.7425656149487314,34.55556433629118,5,6.911112867258235,6.3285975203489215,heater on a random table
act1,prize_vase,Prize Vase,base,prize_vase_ratchet,on_tournament_win,,1,none,ratchet,0,3.4203690925416357,0,12,0,6.3285975203489215,+0.01 win_chance_shift on every table for the rest of the run
act1,prize_vase,Prize Vase,corrupt,prize_vase_ratchet_corrupt,on_tournament_win,,1,none,ratchet,0,10.261107277625072,0,6,0,6.3285975203489215,+0.03 win_chance_shift on every table for the rest of the run
act1,wall_clock,Wall Clock,base,wall_clock_century,on_hand_won,100,1,any_other,apply_status:heater,7.64958932958933,2.7425656149487314,20.979500663810413,12,1.7482917219842011,6.3285975203489215,heater on a random table
act1,wall_clock,Wall Clock,corrupt,wall_clock_century,on_hand_won,100,1,any_other,apply_status:heater,7.64958932958933,2.7425656149487314,20.979500663810413,7,2.9970715234014875,6.3285975203489215,heater on a random table
act1,house_cat,House Cat,base,house_cat_nap,on_hand_won,50,1,any_other,next_win_tier_up,15.29917865917866,0,0,8,0,6.3285975203489215,payload next_win_tier_up unvalued
act1,house_cat,House Cat,corrupt,house_cat_nap_corrupt,on_hand_won,25,1,any_other,next_win_tier_up,30.59835731835732,0,0,4,0,6.3285975203489215,payload next_win_tier_up unvalued
act1,candle,Candle,base,candle_flame,on_stack_win,,0.25,any_other,apply_status:heater,10.499768339768341,2.7425656149487314,28.79630361357598,7,4.113757659082283,6.3285975203489215,heater on a random table
act1,rolled_vouchers,Rolled Vouchers,base,rolled_vouchers_arrival,on_table_open,,1,self,apply_status:heater,0,2.7425656149487314,0,9,0,6.3285975203489215,heater on self (avg cash table)
act1,rolled_vouchers,Rolled Vouchers,corrupt,rolled_vouchers_arrival_corrupt,on_table_open,,1,self,apply_status:heater,0,2.7425656149487314,0,5,0,6.3285975203489215,heater on self (avg cash table)
act1,first_aid_kit,First Aid Kit,base,first_aid_kit_biggest,on_ko,,0.1,none,pay_biggest_buyin,0,10,0,16,0,6.3285975203489215,pays the biggest open buy-in
act1,first_aid_kit,First Aid Kit,corrupt,first_aid_kit_biggest,on_ko,,0.1,none,pay_biggest_buyin,0,10,0,8,0,6.3285975203489215,pays the biggest open buy-in
act1,nightstand,Nightstand,base,nightstand_rested,on_rebuy,,0.5,self,apply_status:heater,0,2.7425656149487314,0,13,0,6.3285975203489215,heater on self (avg cash table)
act1,nightstand,Nightstand,corrupt,nightstand_rested_corrupt,on_rebuy,,1,self,apply_status:heater,0,2.7425656149487314,0,8,0,6.3285975203489215,heater on self (avg cash table)
act1,receipt_printer,Receipt Printer,base,receipt_printer_cascade,on_stack_win,,1,gtype,resolve_now,41.999073359073364,0.012891898613082292,0.5414477955885794,19,0.028497252399398914,6.3285975203489215,zoom tables settle now: ≈half a hand of time compression each (rough)
act1,receipt_printer,Receipt Printer,corrupt,receipt_printer_cascade,on_stack_win,,1,gtype,resolve_now,41.999073359073364,0.012891898613082292,0.5414477955885794,9,0.060160866176508815,6.3285975203489215,zoom tables settle now: ≈half a hand of time compression each (rough)
act1,microwave_oven,Microwave Oven,base,microwave_oven_vent,on_status_applied,,0.5,any_other,apply_status:heater,1.8972972972972972,2.7425656149487314,5.203462328902728,18,0.289081240494596,6.3285975203489215,heater on a random table
act1,microwave_oven,Microwave Oven,corrupt,microwave_oven_vent,on_status_applied,,0.5,any_other,apply_status:heater,1.8972972972972972,2.7425656149487314,5.203462328902728,10,0.5203462328902728,6.3285975203489215,heater on a random table
act1,framed_diploma,Framed Diploma,base,framed_diploma_century,on_hand_won,100,1,all,roll_status,7.64958932958933,0,0,18,0,6.3285975203489215,payload roll_status unvalued
act1,framed_diploma,Framed Diploma,corrupt,framed_diploma_century,on_hand_won,100,1,all,roll_status,7.64958932958933,0,0,9,0,6.3285975203489215,payload roll_status unvalued
act1,curved_monitor,Curved Monitor,base,curved_monitor_heater,on_ko,,0.2,board_near,apply_status:heater,0,2.7425656149487314,0,13,0,6.3285975203489215,heater on a random table
act1,curved_monitor,Curved Monitor,corrupt,curved_monitor_heater_corrupt,on_ko,,0.3,board_near,apply_status:heater,0,4.38810498391797,0,7,0,6.3285975203489215,heater AOE ≈1.6 tables
act1,tower_upgrade,Tower Upgrade,base,tower_upgrade_bump,on_ko,,0.15,board_near,next_win_tier_up,0,0,0,14,0,6.3285975203489215,payload next_win_tier_up unvalued
act1,tower_upgrade,Tower Upgrade,corrupt,tower_upgrade_bump_corrupt,on_ko,,0.25,board_near,next_win_tier_up,0,0,0,5,0,6.3285975203489215,payload next_win_tier_up unvalued
act1,fire_extinguisher,Fire Extinguisher,base,fire_extinguisher_compress,on_status_applied,,1,board_near,apply_status:heater,0.5691891891891891,2.7425656149487314,1.5610386986708185,24,0.0650432791112841,6.3285975203489215,heater on a random table
act1,fire_extinguisher,Fire Extinguisher,corrupt,fire_extinguisher_compress,on_status_applied,,1,board_near,apply_status:heater,0.5691891891891891,2.7425656149487314,1.5610386986708185,12,0.1300865582225682,6.3285975203489215,heater on a random table
act1,blackout_curtains,Blackout Curtains,base,blackout_curtains_read,on_status_applied,,0.5,board_near,apply_status:heater,1.8972972972972972,2.7425656149487314,5.203462328902728,24,0.216810930370947,6.3285975203489215,heater on a random table
act1,blackout_curtains,Blackout Curtains,corrupt,blackout_curtains_read,on_status_applied,,0.5,board_near,apply_status:heater,1.8972972972972972,2.7425656149487314,5.203462328902728,12,0.433621860741894,6.3285975203489215,heater on a random table
act1,shredder,Shredder,base,shredder_refund,on_ko,,0.12,board_near,refund_buyin,0,4.666666666666667,0,18,0,6.3285975203489215,buy-in refunded on a random cash table
act1,shredder,Shredder,corrupt,shredder_refund_corrupt,on_ko,,0.25,board_near,refund_buyin,0,4.666666666666667,0,9,0,6.3285975203489215,buy-in refunded on a random cash table
act1,cool_towel,Cool Towel,base,cool_towel_burnout,on_tilt_spent,,0.25,self,apply_status:heater,1.8972972972972972,2.7425656149487314,5.203462328902728,16,0.3252163955564205,6.3285975203489215,heater on self (avg cash table)
act1,cleaning_robot,Cleaning Robot,base,cleaning_robot_overdrive,on_stack_win,,1,none,timed_buff,41.999073359073364,0,0,24,0,6.3285975203489215,"cursor speed ×2 for 10 s: throughput only, unvalued"
act2,energy_drink,Energy Drink,base,energy_drink_caffeine,on_hand_played,25,1,gtype,apply_status:heater,145.28735205957787,2878.2804147821125,104544.43498715915,3,34848.14499571972,7883776.292171103,heater on a random zoom table
act2,energy_drink,Energy Drink,corrupt,energy_drink_caffeine_corrupt,on_hand_played,10,1,gtype,apply_status:heater,363.2183801489447,2878.2804147821125,261361.0874678979,2,130680.54373394894,7883776.292171103,heater on a random zoom table
act2,dogs_playing_poker,Dogs Playing Poker,base,dogs_playing_poker_high,on_stack_win,,0.25,self,apply_status:heater,34.34191074701678,27646.696372310187,237360.0948169373,6,39560.01580282288,7883776.292171103,heater on self (avg cash table)
act2,dogs_playing_poker,Dogs Playing Poker,corrupt,dogs_playing_poker_high_corrupt,on_stack_win,,0.35,self,apply_status:heater,48.078675045823495,27646.696372310187,332304.13274371217,3,110768.04424790405,7883776.292171103,heater on self (avg cash table)
act2,gaming_chair,Gaming Chair,base,gaming_chair_spread,on_stack_win,,0.3,board_near,apply_status:heater,41.210292896420135,24574.841219831276,253184.10113806638,10,25318.41011380664,7883776.292171103,heater on a random table
act2,gaming_chair,Gaming Chair,corrupt,gaming_chair_spread,on_stack_win,,0.3,board_near,apply_status:heater,41.210292896420135,24574.841219831276,253184.10113806638,5,50636.82022761328,7883776.292171103,heater on a random table
act2,prize_vase,Prize Vase,base,prize_vase_ratchet,on_tournament_win,,1,none,ratchet,1.892915135856316,-1385370.3304384355,-655597.1168132952,12,-54633.0930677746,7883776.292171103,+0.01 win_chance_shift on every table for the rest of the run
act2,prize_vase,Prize Vase,corrupt,prize_vase_ratchet_corrupt,on_tournament_win,,1,none,ratchet,1.892915135856316,-1360166.0452743436,-643669.723594408,6,-107278.28726573467,7883776.292171103,+0.03 win_chance_shift on every table for the rest of the run
act2,wall_clock,Wall Clock,base,wall_clock_century,on_hand_won,100,1,any_other,apply_status:heater,9.665734062606223,24574.841219831276,59383.46996541566,12,4948.622497117972,7883776.292171103,heater on a random table
act2,wall_clock,Wall Clock,corrupt,wall_clock_century,on_hand_won,100,1,any_other,apply_status:heater,9.665734062606223,24574.841219831276,59383.46996541566,7,8483.352852202237,7883776.292171103,heater on a random table
act2,house_cat,House Cat,base,house_cat_nap,on_hand_won,50,1,any_other,next_win_tier_up,19.331468125212446,0,0,8,0,7883776.292171103,payload next_win_tier_up unvalued
act2,house_cat,House Cat,corrupt,house_cat_nap_corrupt,on_hand_won,25,1,any_other,next_win_tier_up,38.66293625042489,0,0,4,0,7883776.292171103,payload next_win_tier_up unvalued
act2,candle,Candle,base,candle_flame,on_stack_win,,0.25,any_other,apply_status:heater,34.34191074701678,24574.841219831276,210986.75094838868,7,30140.964421198383,7883776.292171103,heater on a random table
act2,rolled_vouchers,Rolled Vouchers,base,rolled_vouchers_arrival,on_table_open,,1,self,apply_status:heater,0,27646.696372310187,0,9,0,7883776.292171103,heater on self (avg cash table)
act2,rolled_vouchers,Rolled Vouchers,corrupt,rolled_vouchers_arrival_corrupt,on_table_open,,1,self,apply_status:heater,0,27646.696372310187,0,5,0,7883776.292171103,heater on self (avg cash table)
act2,first_aid_kit,First Aid Kit,base,first_aid_kit_biggest,on_ko,,0.1,none,pay_biggest_buyin,8,10000,20000,16,1250,7883776.292171103,pays the biggest open buy-in
act2,first_aid_kit,First Aid Kit,corrupt,first_aid_kit_biggest,on_ko,,0.1,none,pay_biggest_buyin,8,10000,20000,8,2500,7883776.292171103,pays the biggest open buy-in
act2,nightstand,Nightstand,base,nightstand_rested,on_rebuy,,0.5,self,apply_status:heater,0,27646.696372310187,0,13,0,7883776.292171103,heater on self (avg cash table)
act2,nightstand,Nightstand,corrupt,nightstand_rested_corrupt,on_rebuy,,1,self,apply_status:heater,0,27646.696372310187,0,8,0,7883776.292171103,heater on self (avg cash table)
act2,receipt_printer,Receipt Printer,base,receipt_printer_cascade,on_stack_win,,1,gtype,resolve_now,137.36764298806713,161.8322273239532,5557.627906750131,19,292.50673193421744,7883776.292171103,zoom tables settle now: ≈half a hand of time compression each (rough)
act2,receipt_printer,Receipt Printer,corrupt,receipt_printer_cascade,on_stack_win,,1,gtype,resolve_now,137.36764298806713,161.8322273239532,5557.627906750131,9,617.5142118611257,7883776.292171103,zoom tables settle now: ≈half a hand of time compression each (rough)
act2,microwave_oven,Microwave Oven,base,microwave_oven_vent,on_status_applied,,0.5,any_other,apply_status:heater,77.79958853354475,24574.841219831276,477978.1337950171,18,26554.34076638984,7883776.292171103,heater on a random table
act2,microwave_oven,Microwave Oven,corrupt,microwave_oven_vent,on_status_applied,,0.5,any_other,apply_status:heater,77.79958853354475,24574.841219831276,477978.1337950171,10,47797.813379501706,7883776.292171103,heater on a random table
act2,framed_diploma,Framed Diploma,base,framed_diploma_century,on_hand_won,100,1,all,roll_status,9.665734062606223,0,0,18,0,7883776.292171103,payload roll_status unvalued
act2,framed_diploma,Framed Diploma,corrupt,framed_diploma_century,on_hand_won,100,1,all,roll_status,9.665734062606223,0,0,9,0,7883776.292171103,payload roll_status unvalued
act2,curved_monitor,Curved Monitor,base,curved_monitor_heater,on_ko,,0.2,board_near,apply_status:heater,16,24574.841219831276,98299.3648793251,13,7561.489606101931,7883776.292171103,heater on a random table
act2,curved_monitor,Curved Monitor,corrupt,curved_monitor_heater_corrupt,on_ko,,0.3,board_near,apply_status:heater,24,157278.98380692018,943673.9028415211,7,134810.55754878873,7883776.292171103,heater AOE ≈6.4 tables
act2,tower_upgrade,Tower Upgrade,base,tower_upgrade_bump,on_ko,,0.15,board_near,next_win_tier_up,12,0,0,14,0,7883776.292171103,payload next_win_tier_up unvalued
